"iata","lon","lat","iso","name","continent","type","size","timezone","icao","city","country"
"LKB","169.86667","11.233333","MH","Lakeba Island Airport","OC","airport","small","12","NFNK","Lakeba Island","Fiji"
"NGI","169.86667","11.233333","MH","Ngau Airport","OC","airport","small","12","NFNG","Ngau","Fiji"
"MFJ","169.86667","11.233333","MH","Moala Airport","OC","airport","small","12","NFMO","Moala","Fiji"
"MNF","169.86667","11.233333","MH","Mana Island Airport","OC","airport","small","12","NFMA","Mana Island","Fiji"
"KDV","169.86667","11.233333","MH","Vunisea Airport","OC","airport","small","12","NFKD","Vunisea","Fiji"
"PTF","169.86667","11.233333","MH","Malolo Lailai Island Airport","OC","airport","small","12","NFFO","Malolo Lailai Island","Fiji"
"ICI","169.86667","11.233333","MH","Cicia Airport","OC","airport","small","12","NFCI","Cicia","Fiji"
"PYE","169.86667","11.233333","MH","Penrhyn Island Airport","OC","airport","small","-10","NCPY","Penrhyn Island","Cook Islands"
"MOI","169.86667","11.233333","MH","Mitiaro Island Airport","OC","airport","small","-10","NCMR","Mitiaro Island","Cook Islands"
"MUK","169.86667","11.233333","MH","Mauke Airport","OC","airport","small","-10","NCMK","Mauke Island","Cook Islands"
"MHX","169.86667","11.233333","MH","Manihiki Island Airport","OC","airport","small","-10","NCMH","Manihiki Island","Cook Islands"
"MGS","169.86667","11.233333","MH","Mangaia Island Airport","OC","airport","small","-10","NCMG","Mangaia Island","Cook Islands"
"AIU","169.86667","11.233333","MH","Atiu Island Airport","OC","airport","small","-10","NCAT","Atiu Island","Cook Islands"
"PID","169.86667","11.233333","MH","Nassau Paradise Island Airport","OC","airport","small","-5","MYPI","Nassau","Bahamas"
"CRI","169.86667","11.233333","MH","Colonel Hill Airport","OC","airport","small","-5","MYCI","Colonel Hill","Bahamas"
"CAT","169.86667","11.233333","MH","New Bight Airport","OC","airport","small","-5","MYCB","Cat Island","Bahamas"
"ATC","169.86667","11.233333","MH","Arthurs Town Airport","OC","airport","small","-5","MYCA","Arthur's Town","Bahamas"
"COX","169.86667","11.233333","MH","Congo Town Airport","OC","airport","small","-5","MYAK","Andros","Bahamas"
"LBP","169.86667","11.233333","MH","Long Banga Airport","OC","airport","small","8","","Long Banga","Malaysia"
"SCX","169.86667","11.233333","MH","Salina Cruz Naval Air Station","OC","airport","small","-6","MM57","Salina Cruz","Mexico"
"TND","169.86667","11.233333","MH","Alberto Delgado Airport","OC","airport","small","-5","MUTD","Trinidad","Cuba"
"CCC","169.86667","11.233333","MH","Cayo Coco Airport","OC","airport","small","-5","MUOC","Cayo Coco","Cuba"
"PAX","169.86667","11.233333","MH","Port-de-Paix Airport","OC","airport","small","-5","MTPX","Port-de-Paix","Haiti"
"JEE","169.86667","11.233333","MH","Jeremie Airport","OC","airport","small","-5","MTJE","Jeremie","Haiti"
"PLD","169.86667","11.233333","MH","Playa Samara Airport","OC","airport","small","-6","MRSR","Playa Samara","Costa Rica"
"SYQ","169.86667","11.233333","MH","Tobias Bolanos International Airport","OC","airport","small","-6","MRPV","San Jose","Costa Rica"
"PJM","169.86667","11.233333","MH","Puerto Jimenez Airport","OC","airport","small","-6","MRPJ","Puerto Jimenez","Costa Rica"
"PBP","169.86667","11.233333","MH","Islita Airport","OC","airport","small","-6","MRIA","Nandayure","Costa Rica"
"TNO","169.86667","11.233333","MH","Cabo Velas Airport","OC","airport","small","-6","MRCV","Nicoya","Costa Rica"
"BCL","169.86667","11.233333","MH","Barra del Colorado Airport","OC","airport","small","-6","MRBC","Pococi","Costa Rica"
"TTQ","169.86667","11.233333","MH","Aerotortuguero Airport","OC","airport","small","-6","MRAO","Roxana","Costa Rica"
"PLP","169.86667","11.233333","MH","Captain Ramon Xatruch Airport","OC","airport","small","-5","MPLP","La Palma","Panama"
"JQE","169.86667","11.233333","MH","Jaqué Airport","OC","airport","small","-5","MPJE","Jaqué","Panama"
"ONX","169.86667","11.233333","MH","Enrique Adolfo Jimenez Airport","OC","airport","small","-5","MPEJ","Colón","Panama"
"CTD","169.86667","11.233333","MH","Alonso Valderrama Airport","OC","airport","small","-5","MPCE","Chitré","Panama"
"JAL","169.86667","11.233333","MH","Lencero Airport","OC","airport","small","-6","MMJA","Jalapa","Mexico"
"GUB","169.86667","11.233333","MH","Guerrero Negro Airport","OC","airport","small","-7","MMGR","Guerrero Negro","Mexico"
"CUA","169.86667","11.233333","MH","Ciudad Constitución Airport","OC","airport","small","-7","MMDA","Ciudad Constitución","Mexico"
"CYW","169.86667","11.233333","MH","Captain Rogelio Castillo National Airport","OC","airport","small","-6","MMCY","Celaya","Mexico"
"MIJ","169.86667","11.233333","MH","Mili Island Airport","OC","airport","small","12","MLIP","Mili Island","Marshall Islands"
"PEU","169.86667","11.233333","MH","Puerto Lempira Airport","OC","airport","small","-6","MHPL","Puerto Lempira","Honduras"
"AHS","169.86667","11.233333","MH","Ahuas Airport","OC","airport","small","-6","MHAH","Ahuas","Honduras"
"WTO","169.86667","11.233333","MH","Wotho Island Airport","OC","airport","small","12","","Wotho Island","Marshall Islands"
